id,title,segment,function,sub_function,seniority_level,level_rank,decision_power,budget_authority,signing_threshold_usd,veto_power,proximity_to_power,reports_to_typical,scope,influence_note,send_priority,pitch_angle,cta
12614,"Vice President, Technical Academy - EMEA",A2_Budget_Holder,Human Resources,Learning and Development,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Human Resources",EMEA,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
12615,"Vice President, Technical Academy - Greater China",A2_Budget_Holder,Human Resources,Learning and Development,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Human Resources",Greater China,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
12616,"Vice President, Technical Academy - India",A2_Budget_Holder,Human Resources,Learning and Development,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Human Resources",India,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
12617,"Vice President, Technical Academy - Japan",A2_Budget_Holder,Human Resources,Learning and Development,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Human Resources",Japan,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
12618,"Vice President, Technical Academy - Latin America",A2_Budget_Holder,Human Resources,Learning and Development,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Human Resources",Latin America,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
12619,"Vice President, Technical Academy - North America",A2_Budget_Holder,Human Resources,Learning and Development,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Human Resources",North America,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
12620,"Senior Director, Capability Building",A3_Approver,Human Resources,Learning and Development,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12621,"Senior Director, Curriculum Design",A3_Approver,Human Resources,Learning and Development,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12622,"Senior Director, Executive Development",A3_Approver,Human Resources,Learning and Development,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12623,"Senior Director, Leadership Development",A3_Approver,Human Resources,Learning and Development,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12624,"Senior Director, Learning Technology",A3_Approver,Human Resources,Learning and Development,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12625,"Senior Director, Learning and Development",A3_Approver,Human Resources,Learning and Development,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12626,"Senior Director, Onboarding and Enablement",A3_Approver,Human Resources,Learning and Development,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12627,"Senior Director, Technical Academy",A3_Approver,Human Resources,Learning and Development,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12628,"APAC Director, Leadership Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12629,"APAC Director, Learning and Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12630,"APAC Director, Technical Academy",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12631,Capability Building Director,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12632,Curriculum Design Director,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12633,"Deputy Director, Capability Building",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12634,"Deputy Director, Curriculum Design",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12635,"Deputy Director, Executive Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12636,"Deputy Director, Leadership Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12637,"Deputy Director, Learning Technology",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12638,"Deputy Director, Learning and Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12639,"Deputy Director, Onboarding and Enablement",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12640,"Deputy Director, Technical Academy",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12641,"Director, Capability Building",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12642,"Director, Curriculum Design",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12643,"Director, Executive Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12644,"Director, Leadership Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12645,"Director, Leadership Development - APAC",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12646,"Director, Leadership Development - EMEA",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12647,"Director, Leadership Development - Greater China",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12648,"Director, Leadership Development - India",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12649,"Director, Leadership Development - Japan",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12650,"Director, Leadership Development - Latin America",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12651,"Director, Leadership Development - North America",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12652,"Director, Learning Technology",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12653,"Director, Learning Technology - APAC",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12654,"Director, Learning Technology - EMEA",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12655,"Director, Learning Technology - Greater China",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12656,"Director, Learning Technology - India",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12657,"Director, Learning Technology - Japan",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12658,"Director, Learning Technology - Latin America",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12659,"Director, Learning Technology - North America",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12660,"Director, Learning and Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12661,"Director, Learning and Development - APAC",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12662,"Director, Learning and Development - EMEA",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12663,"Director, Learning and Development - Greater China",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12664,"Director, Learning and Development - India",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12665,"Director, Learning and Development - Japan",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12666,"Director, Learning and Development - Latin America",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12667,"Director, Learning and Development - North America",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12668,"Director, Onboarding and Enablement",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12669,"Director, Onboarding and Enablement - APAC",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12670,"Director, Onboarding and Enablement - EMEA",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12671,"Director, Onboarding and Enablement - Greater China",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12672,"Director, Onboarding and Enablement - India",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12673,"Director, Onboarding and Enablement - Japan",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12674,"Director, Onboarding and Enablement - Latin America",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12675,"Director, Onboarding and Enablement - North America",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12676,"Director, Technical Academy",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12677,"Director, Technical Academy - APAC",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12678,"Director, Technical Academy - EMEA",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12679,"Director, Technical Academy - Greater China",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12680,"Director, Technical Academy - India",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12681,"Director, Technical Academy - Japan",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12682,"Director, Technical Academy - Latin America",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12683,"Director, Technical Academy - North America",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12684,"EMEA Director, Leadership Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12685,"EMEA Director, Learning and Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12686,"EMEA Director, Technical Academy",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12687,Executive Development Director,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12688,"Greater China Director, Leadership Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12689,"Greater China Director, Learning and Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12690,"Greater China Director, Technical Academy",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12691,Head of Capability Building,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12692,Head of Curriculum Design,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12693,Head of Executive Development,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12694,Head of Leadership Development,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12695,Head of Learning Technology,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12696,Head of Learning and Development,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12697,Head of Onboarding and Enablement,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12698,Head of Technical Academy,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12699,"India Director, Leadership Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12700,"India Director, Learning and Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12701,"India Director, Technical Academy",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12702,"Japan Director, Leadership Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12703,"Japan Director, Learning and Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12704,"Japan Director, Technical Academy",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12705,"Latin America Director, Leadership Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12706,"Latin America Director, Learning and Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12707,"Latin America Director, Technical Academy",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12708,Leadership Development Director,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12709,Learning Technology Director,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12710,Learning and Development Director,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12711,"North America Director, Leadership Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12712,"North America Director, Learning and Development",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12713,"North America Director, Technical Academy",A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
